Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Sector PE","PB Ratio","Sector PB","Face value","Debt to Equity","Total Assets","Return on Assets","Total Liabilities","1D Return","1W Return","1M Return","6M Return","1Y Return","Return on Investment","Return on Equity","Dividend Yield"
Blue Star Ltd,BLUESTARCO,"Home Electronics & Appliances","38108.64480792","91.83912473290741","36.74099419741881","14.586315248588585","6.522931535973459","2","0.0929829329066879","6611.2699999999995","6.882276500164626","3998.6399999999994","-6.273230675870437","-17.2684294201322","-3.5390243902439003","10.046312789454936","74.46227702734505","16.56522713583328","21.028919515415076","0.3776842559620157"
Tata Elxsi Ltd,TATAELXSI,"Software Services","37006.26988856","46.71152302811055","35.94234348068758","14.769070779179934","9.469682682020355","10","0.08970889905254503","3186.98","26.62738698829843","681.3199999999996","-0.98323500983235","-10.558284083202281","-18.0749539217694","-15.335290261905438","-31.836198539576554","29.78823925814152","34.509074514911454","1.1780032986647042"
Max Financial Services Ltd,MFSL,"Insurance","36889.317872190004","108.46290280259599","16.376340337400556","8.442380175531047","2.2787858595073875","2","0.1195938245215744","162771.13","0.23090012759894454","158401.59","-0.8119519324455992","-1.6069390550102634","-3.9998218342167267","2.971918501035609","15.226647981458536","6.952214892960127","8.158032343332284",
Escorts Kubota Ltd,ESCORTS,"Tractors","36276.68150327","34.5785298998866","42.97729885593176","3.954986814044104","6.243671579386337","10","0.005788022532840404","11265.55","9.827558023584597","2093.159999999998","-3.165095863061164","0.7960935187925449","-1.0674916125659013","-17.092545342567345","13.670750831480815","11.520592966436425","12.089849624493372","0.5482774651867518"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","35834.95451205","8.800808126188054","16.376340337400556","1.8034140108386152","2.2787858595073875","10","0","307341.91000000003","1.4158231901523899","287471.29000000004","-4.430769230769224","-12.114656571119522","-12.241224122412238","-32.23272727272727","-7.5595238095238",,"22.83612902212678","2.7665510475997133"
Cochin Shipyard Ltd,COCHINSHIP,"Shipbuilding","35767.1474449","45.66388020082472","42.97729885593176","7.148654187982427","6.243671579386337","5","0.10037295086881963","12037.039999999999","7.101922797066098","7033.699999999998","-4.999650618405419","-10.219573400250948","-12.844092570036546","-50.46545096824732","76.45035691109668","15.066460329050383","16.61055732218994","0.7171490566731639"
SJVN Ltd,SJVN,"Renewable Energy","35603.9442855","39.06339889131481","19.27017029255157","2.5303335822285082","2.913285076554659","10","1.4443477117587067","39191.25","2.5494022915362824","25120.4","-6.520841931489896","-11.480500502328974","-17.864406779661017","-41.084666406554824","-11.60975609756098","4.052038070538367","6.526511087027433","1.9867549668874174"
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","35570.91446398","59.82930410734345","35.94234348068758","16.44540352569846","9.469682682020355","10","0.15199471097611153","4098.32","15.984664358075422","1935.3499999999997","-4.340524951629981","-5.7364074328974475","-11.104981340256364","-28.81282260255365","-14.855731739017411","26.06100982048618","31.0767405332086","0.510853642697349"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","35476.6110375","70.7551077732349","35.94234348068758","9.837671520575675","9.469682682020355","10","0.01652709223004825","4895.1","10.730183187810312","1288.9000000000008","-2.9408029607590573","-4.289640131871385","0.8582800974409028","-28.52587853050987","8.345067902993032","13.923290959681388","14.758561820242258","0.24922118380062305"
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,"Pharmaceuticals","35462.61212739","60.11019751744178","49.44747752411902","19.94926538972458","6.4086021055656035","10","0.010502688958394277","3556.61","17.14205186839244","1778.9700000000003","-4.430697589481381","-2.172796498514999","-4.934681654442074","-17.98985328397094","-7.341094192634558","32.94308888777553","33.53074238686874","1.5286502495999237"
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","35189.865038920005","17.697044466028984","27.331800970477047","2.445763477912635","3.1092469554193976","5","0.0066985958525419284","19235.03","10.788776625239683","4846.9400000000005","-5.2704439829921865","-2.3606082548877696","-12.479446127217656","-3.5586651230684017","41.61123429416111","13.847037551253175","14.453927135040997","2.609603340292275"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","34918.72062375","67.50840139922664","36.74099419741881","12.470481739556657","6.522931535973459","10","0.14718350350521942","3864.8999999999996","14.939232200002316","1064.7899999999988","-1.3431656570977049","-3.645745220774838","-10.448113207547177","-22.54462747260322","-6.271893244370313","16.90564839488955","20.322887362680547","0.5139163659562741"
ACC Ltd,ACC,"Cement","34918.102618535","14.945450685694047","27.331800970477047","2.137846071527143","3.1092469554193976","10","0.02172554124056912","23385.64","10.636928654402599","7052.33","-3.7078273478159502","-5.944669037065899","-13.366980708838046","-31.02162703564936","-19.86510946388554","14.926450848985148","15.332896257488862","0.4046054464740773"
